POINT(593431.61892416 8021123.2442825),-8.33739156053777,-14.0852667992575
POINT(643481.304366568 7996387.63112056),-6.09843763970492,-13.4195568017792
POINT(577155.062644654 8015386.87142896),-8.31907727425559,-13.7985814914369
POINT(663977.770818381 8036742.99362708),-7.23347007182606,-12.811289469401
POINT(624208.440881357 8050431.0779194),-6.05988193185706,-12.8557674926624
POINT(576599.165432481 8042853.33238751),-9.4717603273559,-15.1832230216578
POINT(650195.312186436 8058115.40929489),-7.39214517359148,-13.2860440873263
POINT(602549.931598568 7983223.24455632),-5.97866933596762,-12.4977173052336
POINT(662956.512208123 8032434.56371535),-7.25483323582287,-13.2244772993285
POINT(664915.324773884 8033276.43222823),-6.52651961096402,-12.5615776489521
POINT(562377.724121278 8023204.0491252),-6.97506295588979,-12.7128663648639
POINT(602168.018366157 8031533.57077663),-8.67613843449375,-13.4842185304876
POINT(627874.418583723 8052651.11212139),-7.10665141699607,-13.4688893535681
POINT(577211.305869562 8022523.79126749),-6.45159194553108,-12.1553514547515
POINT(556776.024599832 8012355.96630494),-6.87135115004422,-12.686907835174
POINT(612531.96990048 8075544.55096434),-8.92104383937099,-14.3508144679822
POINT(589164.043308843 8053041.72567393),-7.00593260714882,-12.1378999843932
POINT(606443.905098351 8072082.26278595),-8.56515585748773,-16.0265403546785
POINT(591001.532027774 8024148.50545325),-7.89324086172539,-13.0473664434333
POINT(565698.797026541 8063245.19749993),-7.06237910086648,-12.9860337575277
POINT(620408.998330211 8058663.02208583),-6.25559548327797,-12.5315823973271
POINT(602002.835363931 8062600.19956128),-7.94200268126371,-13.7258571992841
POINT(555575.868926887 8027115.88674547),-8.78590700919168,-14.8273181246038
POINT(565400.063451549 7989505.69583286),-9.51871187645092,-14.6924968184086
POINT(613795.646217493 8022407.48648488),-7.54279965685125,-14.8483613164801
POINT(627154.095236467 8054782.84583202),-6.49756681082541,-12.8553349511665
POINT(606396.837982722 7982341.70425891),-6.14999920443485,-12.1939831449274
POINT(609672.740159379 7998538.22962647),-13.1357978352329,-19.1323254903158
POINT(561430.343035862 8055693.10755933),-6.73399298690086,-12.6020057589509
POINT(568752.729388837 7996431.00337922),-6.83462094005785,-12.5846178322508
POINT(599237.48754087 8042322.31408808),-6.65950252821571,-13.0049470516673
POINT(594577.101124502 8012540.19982711),-6.35010285544814,-12.6580941049676
POINT(555785.881438109 8011418.03976863),-6.35282823495698,-12.9263214981347
POINT(600013.280463029 8032733.5044828),-7.7369046127587,-13.1778742806953
POINT(562773.334870409 8002265.78746963),-7.47386815255148,-13.4840827406498
POINT(585219.102080279 8017570.31839028),-8.52873812223736,-14.3261516136036
